Time,"Coolant temperature","Engine oil temperature","Transmission temperature","Boost pressure","Actual oil pressure","Multiplicative mixture correction of the mixture adaptation","Misfire detection counter cylinder 1","Misfire detection counter cylinder 2","Misfire detection counter cylinder 3","Misfire detection counter cylinder 4","Intake air temperature","Intake air temperature at start","Intake air temperature in the charger line","Target temperature coolant","Engine speed","Vehicle speed"
0.000,0,88.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.135,0,88.00,57.00,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270,0,88.00,57.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
0.405,0,88.00,57.00,0.00,2.95,0,0,0,0,0,0,0,0,0,0,0
0.540,0,88.00,57.00,0.00,2.95,0.94,0,0,0,0,0,0,0,0,0,0
0.675,0,88.00,57.00,0.00,2.95,0.94,0.00,0,0,0,0,0,0,0,0,0
0.810,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0,0,0,0,0,0,0,0
0.945,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0,0,0,0,0,0,0
1.080,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,0,0,0,0,0,0
1.216,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,0,0,0,0,0
1.351,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,0,0,0,0
1.485,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,0,0,0
1.636,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,0,0
1.772,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0
1.906,0,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.041,87.00,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.176,87.00,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.311,87.00,88.00,57.00,0.00,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.445,87.00,88.00,57.00,0.05,2.95,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.581,87.00,88.00,57.00,0.05,2.94,0.94,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.717,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.851,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
2.986,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
3.120,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
3.255,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,16.50,25.50,16.50,85.00,1598.00,0.00
3.405,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,16.50,85.00,1598.00,0.00
3.540,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,16.50,85.00,1598.00,0.00
3.675,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,1598.00,0.00
3.811,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,1598.00,0.00
3.945,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,0.00
4.080,87.00,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
4.216,84.75,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
4.351,84.75,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
4.485,84.75,88.00,57.00,0.05,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
4.619,84.75,88.00,57.00,0.76,2.94,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
4.756,84.75,88.00,57.00,0.76,4.38,0.99,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
4.891,84.75,88.00,57.00,0.76,4.38,1.00,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
5.025,84.75,88.00,57.00,0.76,4.38,1.00,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
5.160,84.75,88.00,57.00,0.76,4.38,1.00,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
5.296,84.75,88.00,57.00,0.76,4.38,1.00,0.00,0.00,0.00,0.00,15.75,25.50,15.75,85.00,2949.00,18.87
